ROCK NAME,SIO2,CAO,AL2O3,MGO
DUNITE,39.72,0.37,0.16,47.05
DUNITE,41.87,5.42,5.16,34.65
DUNITE,41.2,0.26,0.3,49.7
DUNITE,42.1,0.02,0.09,50.4
DUNITE,41.6,0.09,0.88,50.0
DUNITE,37.9,0.05,2.6,37.78
DUNITE,45.2,3.72,3.77,34.4
DUNITE,37.72,3.54,3.94,32.46
DUNITE,41.4,0.14,1.31,46.7
DUNITE,41.5,0.48,1.25,46.3
DUNITE,41.8,0.1,1.39,47.2
DUNITE,42.0,1.56,0.77,47.8
DUNITE,42.0,0.04,1.08,47.6
DUNITE,42.6,0.05,1.06,45.7
DUNITE,41.1,0.02,1.23,48.0
DUNITE,40.5,0.12,0.94,48.5
DUNITE,40.1,0.09,0.29,50.4
DUNITE,41.77,5.21,5.1,37.2
DUNITE,45.77,13.26,15.93,17.7
DUNITE,42.55,8.14,10.71,29.3
DUNITE,46.05,13.97,19.29,16.6
DUNITE,26.6,10.68,0.18,30.63
DUNITE,40.76,1.18,2.37,42.68
DUNITE,38.5,1.29,2.36,39.13
DUNITE,40.06,0.25,2.7,38.15
DUNITE,36.59,0.89,1.75,39.89
DUNITE,34.04,0.28,0.91,40.5
DUNITE,39.69,0.06,0.15,44.39
DUNITE,39.18,0.55,0.88,39.22
DUNITE,39.53,1.86,0.9,38.87
DUNITE,37.56,0.67,0.89,39.09
DUNITE,40.12,1.09,0.91,38.39
DUNITE,37.43,0.85,0.92,38.37
DUNITE,39.94,1.58,0.95,37.68
DUNITE,46.3,0.03,0.16,46.09
DUNITE,39.56,0.07,0.1,44.82
DUNITE,36.65,0.14,0.38,38.46
DUNITE,41.7,5.94,5.37,34.2
DUNITE,42.85,6.28,6.81,31.5
DUNITE,44.1,3.0,4.3,37.0
DUNITE,45.1,4.2,4.4,35.7
DUNITE,45.4,3.7,4.1,36.3
DUNITE,45.7,3.6,4.8,35.9
DUNITE,43.1,3.3,4.7,36.8
DUNITE,36.3,1.2,0.7,45.7
DUNITE,34.32,0.38,2.03,41.8
DUNITE,38.98,1.17,1.8,42.89
DUNITE,40.4,0.36,0.52,47.82
DUNITE,39.69,0.58,0.16,45.33
DUNITE,38.2,2.31,4.0,29.77
DUNITE,38.85,5.45,5.65,26.66
DUNITE,38.29,3.67,4.13,27.46
DUNITE,38.0,3.95,4.69,26.62
DUNITE,39.69,5.82,5.73,26.48
DUNITE,36.81,0.34,0.52,38.65
DUNITE,38.66,0.8,3.09,35.69
DUNITE,38.29,0.67,2.38,36.31
DUNITE,37.01,1.13,1.94,39.41
DUNITE,36.79,1.86,2.57,39.1
DUNITE,34.57,0.15,0.89,39.64
DUNITE,35.86,0.02,0.54,38.42
DUNITE,39.33,0.01,0.05,36.55
DUNITE,39.62,0.02,0.0,33.84
DUNITE,37.65,6.36,2.19,29.18
DUNITE,33.11,5.72,6.85,24.37
DUNITE,41.88,4.67,5.03,35.41
DUNITE,34.08,0.01,0.27,39.82
DUNITE,37.62,0.02,1.31,38.97
DUNITE,38.96,0.21,1.89,37.35
DUNITE,36.0,0.47,0.87,37.08
DUNITE,39.84,0.7,2.35,36.7
DUNITE,38.99,0.41,2.19,35.78
DUNITE,36.64,0.02,1.05,37.29
DUNITE,39.37,2.59,1.92,34.14
DUNITE,36.75,0.04,1.24,37.0
DUNITE,35.8,0.02,0.71,38.95
DUNITE,29.99,0.03,0.1,36.96
DUNITE,37.58,0.67,1.62,35.57
DUNITE,37.11,0.03,0.76,39.66
DUNITE,36.56,0.56,1.26,37.52
DUNITE,34.02,0.05,0.55,39.26
DUNITE,37.84,0.02,1.38,37.48
DUNITE,39.26,1.29,1.59,36.75
DUNITE,38.78,0.02,2.21,34.91
DUNITE,36.81,0.02,0.92,39.1
DUNITE,34.31,0.05,1.42,34.54
DUNITE,37.03,0.06,1.25,37.52
DUNITE,35.79,0.04,1.28,38.2
DUNITE,33.9,1.89,3.11,33.9
DUNITE,41.21,1.46,0.67,46.46
DUNITE,40.78,1.31,0.7,45.78
DUNITE,39.09,1.07,0.61,44.44
DUNITE,40.7,1.07,1.6,45.79
DUNITE,41.07,0.1,0.74,41.37
DUNITE,39.26,7.33,2.8,30.09
DUNITE,40.74,0.51,0.33,48.3
DUNITE,40.84,0.48,0.32,48.43
DUNITE,41.53,0.28,0.44,47.98
DUNITE,40.78,0.3,0.29,49.14
DUNITE,41.05,0.33,0.3,49.05
DUNITE,40.78,0.61,1.05,47.49
DUNITE,41.45,0.07,0.11,49.59
DUNITE,39.58,0.64,1.16,47.37
DUNITE,38.71,2.18,1.2,45.58
DUNITE,46.8,14.71,17.04,15.9
DUNITE,46.35,15.85,19.65,12.97
DUNITE,45.54,12.67,15.69,20.36
DUNITE,44.34,11.5,17.89,19.65
DUNITE,45.46,10.8,14.87,23.34
DUNITE,44.28,12.9,16.95,18.74
DUNITE,48.49,18.33,17.84,13.12
DUNITE,44.75,15.36,21.36,12.72
DUNITE,44.16,9.8,12.4,27.44
DUNITE,45.25,11.03,18.5,18.01
DUNITE,46.59,13.25,14.88,17.12
DUNITE,43.82,15.24,21.02,12.82
DUNITE,45.45,17.26,21.67,11.2
DUNITE,40.52,0.2,0.1,49.0
DUNITE,39.67,0.21,0.28,48.71
DUNITE,39.99,0.64,1.05,47.8
DUNITE,42.47,0.64,1.17,45.88
DUNITE,43.4,0.8,0.86,45.49
DUNITE,38.7,1.21,1.5,41.53
DUNITE,37.37,0.38,0.41,44.03
DUNITE,41.35,0.27,0.21,47.9
DUNITE,39.33,0.18,0.85,44.9
DUNITE,41.55,3.26,1.78,39.1
DUNITE,39.92,0.07,1.11,46.06
DUNITE,39.44,0.08,1.19,45.22
DUNITE,40.31,0.64,0.93,45.07
DUNITE,36.6,2.41,5.13,28.3
DUNITE,35.5,0.35,0.69,41.6
DUNITE,35.5,0.25,0.54,41.6
DUNITE,35.1,0.7,0.5,42.8
DUNITE,38.8,0.5,0.77,38.8
DUNITE,38.4,0.88,0.66,43.1
DUNITE,37.9,0.11,0.2,45.4
DUNITE,36.5,0.32,0.32,43.2
DUNITE,37.4,0.08,0.27,43.0
DUNITE,38.8,0.12,0.1,46.4
DUNITE,37.9,0.13,0.14,43.9
DUNITE,37.8,0.11,0.54,44.1
DUNITE,37.5,1.29,0.34,38.7
DUNITE,39.1,0.03,0.76,43.9
DUNITE,39.7,0.51,0.11,47.8
DUNITE,39.3,0.35,0.11,48.0
DUNITE,39.1,0.5,0.6,45.7
DUNITE,25.2,0.1,6.8,29.3
DUNITE,33.8,0.2,0.2,41.6
DUNITE,32.9,0.04,2.9,35.8
DUNITE,31.0,0.16,2.5,39.8
DUNITE,31.5,0.12,4.2,37.1
DUNITE,36.9,0.21,0.25,44.7
DUNITE,37.8,0.27,1.9,47.1
DUNITE,34.2,0.09,0.77,41.9
DUNITE,35.5,0.34,0.97,44.0
DUNITE,35.7,0.28,1.2,43.2
DUNITE,9.8,0.63,9.9,19.2
DUNITE,35.7,0.45,1.5,42.6
DUNITE,33.4,0.63,3.4,38.1
DUNITE,14.5,0.07,7.2,24.3
DUNITE,37.0,0.15,0.73,47.2
DUNITE,35.2,0.04,1.6,42.4
DUNITE,37.6,0.14,0.81,45.0
DUNITE,33.0,1.2,1.5,38.0
DUNITE,48.8,17.7,2.34,21.5
DUNITE,38.1,0.5,0.38,45.4
DUNITE,38.1,0.43,0.34,45.1
DUNITE,38.3,0.42,0.39,46.1
DUNITE,44.7,9.41,1.22,34.8
DUNITE,39.5,2.9,0.91,41.4
DUNITE,48.1,16.7,2.85,23.6
DUNITE,33.8,0.03,0.38,40.6
DUNITE,39.7,0.74,0.75,45.8
DUNITE,34.9,0.3,0.44,40.9
DUNITE,29.7,0.16,2.91,35.9
DUNITE,34.3,0.99,0.94,40.2
DUNITE,31.9,0.12,1.08,39.3
DUNITE,40.2,4.42,0.73,40.2
DUNITE,36.1,1.69,0.63,40.4
DUNITE,42.6,16.6,20.4,8.48
DUNITE,50.2,20.1,2.64,20.4
DUNITE,48.1,18.2,3.65,20.3
DUNITE,37.8,0.42,0.59,43.7
DUNITE,51.1,23.0,3.51,16.9
DUNITE,48.0,8.88,13.8,7.97
DUNITE,33.8,25.0,13.4,5.97
DUNITE,48.5,8.7,15.7,3.38
DUNITE,40.0,23.0,11.6,6.66
DUNITE,5.33,51.4,1.22,0.73
DUNITE,51.4,9.04,16.1,2.36
DUNITE,37.6,1.23,0.59,41.5
DUNITE,35.2,0.13,0.49,40.7
DUNITE,35.3,0.12,0.48,40.6
DUNITE,35.6,0.13,1.21,41.9
DUNITE,37.6,0.14,0.25,41.5
DUNITE,35.6,0.09,0.97,41.4
DUNITE,36.3,0.21,0.72,44.4
DUNITE,31.9,0.12,2.74,39.3
DUNITE,34.1,0.32,2.94,40.9
DUNITE,35.1,0.24,1.18,40.6
DUNITE,40.5,1.4,1.3,44.4
DUNITE,38.8,0.7,0.81,43.8
DUNITE,37.1,0.67,0.5,42.6
DUNITE,36.6,0.26,0.76,42.9
DUNITE,48.9,19.2,4.1,17.3
DUNITE,37.4,0.22,0.42,43.7
DUNITE,38.1,0.45,0.34,40.8
DUNITE,37.1,0.29,0.46,43.4
DUNITE,37.8,1.6,0.76,37.6
DUNITE,37.8,0.35,0.34,44.4
DUNITE,37.7,0.26,0.42,42.7
DUNITE,37.8,0.26,0.42,43.9
DUNITE,38.1,0.29,0.42,44.0
DUNITE,39.4,3.6,1.7,34.0
DUNITE,37.8,0.83,0.86,42.1
DUNITE,43.7,11.8,15.6,9.1
DUNITE,51.4,20.2,1.7,20.2
DUNITE,37.4,0.12,2.6,36.8
DUNITE,35.1,0.93,0.5,39.6
DUNITE,37.1,0.19,0.64,42.9
DUNITE,37.7,0.09,0.74,43.0
DUNITE,37.1,0.12,0.64,42.8
DUNITE,36.6,0.09,0.46,43.4
DUNITE,37.1,0.32,0.54,42.9
DUNITE,36.6,0.12,0.64,42.4
DUNITE,39.0,2.6,0.64,36.8
DUNITE,37.7,0.06,0.46,41.6
DUNITE,37.7,0.51,0.5,41.2
DUNITE,36.1,0.32,0.74,40.5
DUNITE,37.4,0.38,0.54,42.8
DUNITE,36.6,0.06,0.54,42.3
DUNITE,36.7,0.34,0.5,43.2
DUNITE,35.9,0.31,0.59,38.3
DUNITE,38.1,0.43,0.59,43.1
DUNITE,37.0,0.71,0.5,41.3
DUNITE,37.4,0.34,0.59,43.5
DUNITE,40.0,1.3,4.8,32.5
DUNITE,39.9,0.17,0.2,47.3
DUNITE,39.9,0.18,0.2,48.5
DUNITE,38.7,0.25,0.11,46.3
DUNITE,39.3,1.5,0.25,44.8
DUNITE,39.6,0.3,0.07,47.4
DUNITE,37.9,0.21,0.29,44.4
DUNITE,39.3,0.45,0.5,45.1
DUNITE,39.4,0.21,0.2,44.7
DUNITE,41.4,1.0,0.58,43.5
DUNITE,32.2,0.34,3.5,40.1
DUNITE,33.1,0.13,1.9,41.4
DUNITE,38.6,0.26,1.9,45.1
DUNITE,43.4,0.73,0.82,43.4
DUNITE,52.3,15.8,2.0,20.9
DUNITE,40.1,1.2,6.6,43.2
DUNITE,44.1,0.69,1.2,46.4
DUNITE,34.1,1.4,0.58,38.4
DUNITE,41.6,0.61,0.95,34.8
DUNITE,43.1,1.2,1.4,42.9
DUNITE,39.2,0.7,0.6,41.1
DUNITE,39.6,1.5,0.93,41.9
DUNITE,35.2,0.6,1.2,40.8
DUNITE,35.7,0.8,0.93,42.5
DUNITE,36.1,0.7,1.1,42.6
DUNITE,35.8,0.15,0.97,43.3
DUNITE,35.0,0.15,0.87,41.7
DUNITE,35.1,0.2,1.2,41.5
DUNITE,37.7,0.15,1.1,43.5
DUNITE,37.6,0.88,1.2,46.2
DUNITE,35.8,1.0,0.89,42.6
DUNITE,35.7,0.2,0.8,42.7
DUNITE,35.2,0.15,0.86,42.7
DUNITE,37.4,1.9,1.2,45.5
DUNITE,35.2,0.63,1.1,42.4
DUNITE,37.1,0.32,1.4,45.0
DUNITE,36.6,0.24,0.06,44.8
DUNITE,36.7,0.24,3.2,43.5
DUNITE,36.9,0.27,0.01,45.6
DUNITE,33.1,0.3,0.65,38.2
DUNITE,39.9,0.75,2.3,44.2
DUNITE,43.2,0.52,1.1,46.4
DUNITE,40.8,0.58,1.0,46.9
DUNITE,40.3,0.31,0.7,46.0
DUNITE,39.5,0.06,1.2,40.1
DUNITE,40.2,0.14,0.37,46.0
DUNITE,48.5,23.0,14.5,4.7
DUNITE,76.6,0.76,13.1,0.14
DUNITE,40.6,0.19,0.69,49.2
DUNITE,41.6,2.8,1.9,42.2
DUNITE,39.2,0.16,0.2,45.1
DUNITE,41.1,0.2,0.32,49.1
DUNITE,35.2,0.19,1.83,44.2
DUNITE,43.1,0.28,0.64,45.4
DUNITE,35.2,0.2,0.2,41.7
DUNITE,37.4,0.81,0.46,40.1
DUNITE,38.5,0.01,0.23,43.4
DUNITE,38.11,0.26,0.96,45.02
DUNITE,40.4,6.0,1.96,33.2
DUNITE,42.7,5.24,2.2,29.0
DUNITE,42.5,0.19,0.8,36.0
DUNITE,35.6,3.88,1.07,28.1
DUNITE,36.3,0.2,0.26,34.7
DUNITE,41.7,6.42,0.49,33.1
DUNITE,45.7,15.7,19.1,9.9
DUNITE,38.4,0.12,0.28,46.8
DUNITE,37.6,0.22,0.2,41.8
DUNITE,38.9,0.12,0.41,46.9
DUNITE,35.6,0.23,0.31,43.2
DUNITE,38.5,1.75,0.35,43.2
DUNITE,35.9,0.2,0.25,44.3
DUNITE,36.4,1.03,0.17,41.5
DUNITE,38.3,0.24,0.39,44.6
DUNITE,43.6,0.89,0.53,44.6
DUNITE,40.1,0.87,0.46,43.3
DUNITE,40.3,0.25,0.21,46.9
DUNITE,40.0,0.32,0.34,47.1
DUNITE,39.8,0.3,0.15,44.2
DUNITE,39.2,3.9,0.81,35.6
DUNITE,39.3,0.27,0.2,46.7
DUNITE,38.5,0.15,0.22,46.7
DUNITE,37.2,0.09,0.4,42.1
DUNITE,36.4,0.1,1.5,40.3
DUNITE,38.1,3.2,2.2,34.4
DUNITE,35.7,0.6,0.56,41.3
DUNITE,39.1,1.3,0.56,43.2
DUNITE,37.2,0.5,1.0,45.0
DUNITE,35.0,0.76,0.63,39.4
DUNITE,35.0,0.52,1.2,37.6
DUNITE,37.2,1.2,0.19,40.5
DUNITE,26.6,0.12,3.0,32.4
DUNITE,38.0,2.3,0.16,39.1
DUNITE,37.4,0.58,0.32,41.7
DUNITE,36.3,0.33,0.27,42.6
DUNITE,36.7,0.35,0.18,42.5
DUNITE,36.3,0.13,0.3,43.6
DUNITE,36.3,0.06,0.3,43.8
DUNITE,39.2,0.19,0.5,45.6
DUNITE,41.3,1.7,2.5,43.4
DUNITE,45.7,1.2,1.2,43.0
DUNITE,38.7,0.35,0.49,45.0
DUNITE,37.3,0.58,1.9,34.4
DUNITE,42.6,0.87,1.1,45.3
DUNITE,42.0,0.16,0.61,43.1
DUNITE,42.7,0.15,0.6,43.4
DUNITE,40.3,0.27,1.0,46.0
DUNITE,37.9,0.04,0.88,39.5
DUNITE,37.9,0.56,0.34,46.31
DUNITE,25.5,0.2,6.24,28.84
DUNITE,34.24,0.28,0.13,41.85
DUNITE,32.4,0.1,2.29,35.39
DUNITE,30.36,0.2,2.25,38.08
DUNITE,34.67,0.19,3.8,36.74
DUNITE,37.52,0.24,0.18,45.64
DUNITE,37.16,0.3,1.14,47.4
DUNITE,33.42,0.09,0.5,41.72
DUNITE,30.9,0.07,2.06,38.23
DUNITE,35.84,0.32,0.58,44.18
DUNITE,36.62,0.26,1.16,42.76
DUNITE,8.16,0.8,9.64,18.04
DUNITE,32.98,0.75,3.18,36.94
DUNITE,8.74,0.22,8.36,21.62
DUNITE,37.62,0.22,0.34,46.56
DUNITE,34.92,0.14,1.02,41.38
DUNITE,37.54,0.2,0.38,45.37
DUNITE,33.55,1.27,1.0,38.57
DUNITE,38.01,0.0,0.83,37.96
DUNITE,38.01,0.0,0.83,37.96
DUNITE,38.01,0.0,0.83,37.96
DUNITE,36.92,0.64,3.65,34.25
DUNITE,37.0,1.8,0.92,39.42
DUNITE,38.2,0.8,1.03,38.0
DUNITE,38.26,0.5,1.1,38.64
DUNITE,38.04,0.98,1.21,38.07
DUNITE,41.5,0.08,1.04,45.05
DUNITE,44.71,0.28,1.77,43.81
DUNITE,36.74,0.14,0.39,40.31
DUNITE,39.47,0.15,0.28,41.21
DUNITE,38.14,0.6,0.63,41.19
DUNITE,38.3,0.44,0.38,41.71
DUNITE,35.25,0.1,0.07,41.35
DUNITE,35.54,0.21,0.07,42.14
DUNITE,40.8,0.54,0.6,43.43
DUNITE,39.21,0.25,0.19,44.36
DUNITE,39.47,0.15,0.4,40.95
DUNITE,34.5,0.37,0.46,38.94
DUNITE,34.44,0.2,0.12,43.4
DUNITE,38.43,0.5,0.65,39.78
DUNITE,33.62,0.03,0.07,42.04
DUNITE,43.7,2.06,0.63,44.64
DUNITE,34.44,1.53,3.67,39.81
DUNITE,36.98,0.64,0.53,43.24
DUNITE,32.71,0.06,0.31,41.42
DUNITE,33.33,0.11,0.25,42.98
DUNITE,32.7,0.07,0.23,42.54
DUNITE,33.01,0.14,0.2,40.31
HARZBURGITE,42.92,0.8,0.81,45.65
HARZBURGITE,43.65,0.41,0.5,46.21
HARZBURGITE,44.09,0.61,0.46,45.72
HARZBURGITE,43.54,0.44,0.56,46.54
HARZBURGITE,43.95,0.82,0.76,45.9
HARZBURGITE,43.95,0.8,1.07,44.51
HARZBURGITE,43.74,0.96,0.75,46.14
HARZBURGITE,39.53,0.17,3.11,33.23
HARZBURGITE,36.59,0.15,2.91,35.81
HARZBURGITE,36.57,3.51,3.78,29.23
HARZBURGITE,42.59,2.65,2.77,32.12
HARZBURGITE,42.96,0.54,0.73,46.19
HARZBURGITE,43.36,0.57,0.65,47.08
HARZBURGITE,40.0,0.26,2.84,37.52
HARZBURGITE,38.59,0.55,0.75,40.2
HARZBURGITE,40.78,0.99,0.88,42.04
HARZBURGITE,40.82,1.64,0.89,41.16
HARZBURGITE,43.16,0.08,0.84,33.67
HARZBURGITE,37.22,1.53,0.62,40.12
HARZBURGITE,41.49,1.18,0.26,43.38
HARZBURGITE,38.87,1.49,0.92,40.03
HARZBURGITE,41.07,1.58,1.03,41.43
HARZBURGITE,43.21,0.54,0.64,43.08
HARZBURGITE,40.46,0.08,1.48,38.94
HARZBURGITE,40.89,0.0,1.65,38.42
HARZBURGITE,40.07,0.0,1.73,37.72
HARZBURGITE,46.6,5.97,3.74,24.68
HARZBURGITE,42.64,2.87,2.78,36.84
HARZBURGITE,38.5,0.1,0.9,36.4
HARZBURGITE,38.0,0.11,0.9,37.85
HARZBURGITE,41.95,0.28,1.9,34.25
HARZBURGITE,55.23,0.75,0.54,35.67
HARZBURGITE,44.69,0.24,0.64,45.23
HARZBURGITE,44.31,0.37,0.37,45.81
HARZBURGITE,43.89,0.56,0.6,45.71
HARZBURGITE,38.55,0.35,0.42,38.01
HARZBURGITE,39.23,0.32,0.95,36.81
HARZBURGITE,41.89,0.48,0.85,37.63
HARZBURGITE,36.66,0.32,0.7,38.26
HARZBURGITE,38.02,0.05,0.86,35.47
HARZBURGITE,38.23,0.28,0.7,40.62
HARZBURGITE,37.45,0.0,0.57,38.24
HARZBURGITE,38.19,0.17,0.34,39.09
HARZBURGITE,39.11,0.57,0.33,40.34
HARZBURGITE,39.67,0.03,0.52,37.63
HARZBURGITE,44.63,0.04,0.43,40.82
HARZBURGITE,41.16,0.07,0.44,35.95
HARZBURGITE,39.93,0.02,0.27,35.4
HARZBURGITE,39.39,0.17,0.19,35.23
HARZBURGITE,39.24,0.04,0.17,33.71
HARZBURGITE,39.71,0.06,0.12,36.13
HARZBURGITE,40.92,0.12,0.53,38.13
HARZBURGITE,42.77,0.03,1.67,36.94
HARZBURGITE,37.81,0.12,1.59,37.29
HARZBURGITE,37.04,0.72,0.6,36.68
HARZBURGITE,37.45,1.87,0.62,34.58
HARZBURGITE,36.17,0.66,0.51,37.71
HARZBURGITE,36.76,0.79,0.58,36.5
HARZBURGITE,36.65,0.96,0.72,36.57
HARZBURGITE,43.87,0.52,0.53,46.65
HARZBURGITE,43.99,0.48,0.45,46.36
HARZBURGITE,43.98,0.7,0.78,45.46
HARZBURGITE,43.91,0.61,0.56,45.88
HARZBURGITE,41.13,0.82,0.4,48.23
HARZBURGITE,43.57,0.72,0.87,46.34
HARZBURGITE,43.93,1.22,1.03,44.86
HARZBURGITE,44.12,0.3,0.38,48.38
HARZBURGITE,42.5,0.59,0.38,48.38
HARZBURGITE,44.18,0.52,0.52,47.71
HARZBURGITE,43.99,0.59,0.82,46.2
HARZBURGITE,44.23,1.13,0.86,46.52
HARZBURGITE,40.79,1.05,0.59,48.09
HARZBURGITE,40.46,0.85,0.47,47.59
HARZBURGITE,36.78,0.38,0.88,50.43
HARZBURGITE,37.2,0.6,0.34,48.41
HARZBURGITE,39.78,0.85,0.61,46.64
HARZBURGITE,39.41,0.53,0.45,47.78
HARZBURGITE,39.97,0.63,0.41,47.21
HARZBURGITE,39.78,0.56,0.31,47.89
HARZBURGITE,38.84,0.35,0.21,49.44
HARZBURGITE,40.62,0.38,0.41,48.15
HARZBURGITE,42.61,0.33,0.64,45.94
HARZBURGITE,43.53,0.69,0.74,46.01
HARZBURGITE,43.81,0.6,0.55,46.53
HARZBURGITE,44.45,0.7,0.54,46.41
HARZBURGITE,43.92,0.53,0.56,47.17
HARZBURGITE,44.3,1.9,1.3,43.0
HARZBURGITE,42.0,1.95,1.06,39.4
HARZBURGITE,39.8,2.0,2.18,38.9
HARZBURGITE,41.7,2.86,2.28,39.0
HARZBURGITE,42.7,2.07,1.91,40.7
HARZBURGITE,41.8,2.21,2.22,39.7
HARZBURGITE,41.7,2.09,2.0,38.9
HARZBURGITE,41.9,1.76,1.84,40.3
HARZBURGITE,41.7,1.72,1.58,40.8
HARZBURGITE,40.7,1.37,0.86,41.7
HARZBURGITE,39.7,0.46,0.78,41.3
HARZBURGITE,41.9,1.21,1.0,41.0
HARZBURGITE,39.6,1.65,0.85,38.3
HARZBURGITE,40.9,1.49,0.93,40.6
HARZBURGITE,40.0,0.81,0.68,40.2
HARZBURGITE,40.5,0.95,0.72,41.4
HARZBURGITE,40.1,1.71,1.52,37.5
HARZBURGITE,40.6,1.88,1.65,38.6
HARZBURGITE,38.3,0.62,0.6,37.8
HARZBURGITE,40.5,0.78,0.71,39.3
HARZBURGITE,43.4,0.91,0.25,45.3
HARZBURGITE,43.6,0.95,0.52,44.0
HARZBURGITE,43.4,0.94,0.82,42.8
HARZBURGITE,41.6,0.56,0.29,44.9
HARZBURGITE,41.7,0.8,1.0,45.4
HARZBURGITE,45.2,0.8,0.7,41.5
HARZBURGITE,46.1,1.2,2.7,39.2
HARZBURGITE,43.8,0.38,0.78,45.1
HARZBURGITE,43.9,0.14,0.44,45.9
HARZBURGITE,42.7,1.04,0.72,43.2
HARZBURGITE,40.1,1.23,0.69,36.3
HARZBURGITE,41.41,0.79,0.58,39.09
HARZBURGITE,42.43,0.2,0.53,37.88
HARZBURGITE,39.91,0.42,1.22,37.2
HARZBURGITE,39.91,0.42,1.22,37.2
HARZBURGITE,39.91,0.42,1.22,37.2
HARZBURGITE,39.63,2.92,0.76,38.07
HARZBURGITE,38.47,0.42,1.22,38.43
HARZBURGITE,38.21,0.82,2.15,38.11
HARZBURGITE,39.86,0.77,1.36,38.13
HARZBURGITE,39.22,0.63,2.36,37.88
HARZBURGITE,39.2,0.58,2.53,37.81
HARZBURGITE,39.1,0.35,1.86,37.15
HARZBURGITE,37.84,1.5,1.43,36.96
HARZBURGITE,39.26,1.12,1.44,37.4
HARZBURGITE,39.74,0.58,1.86,37.35
HARZBURGITE,38.52,0.6,1.02,36.7
HARZBURGITE,41.9,1.4,1.18,37.85
HARZBURGITE,41.7,1.46,1.7,38.12
HARZBURGITE,39.82,2.6,2.62,36.1
HARZBURGITE,39.94,2.04,2.48,36.38
HARZBURGITE,39.77,0.41,3.14,35.54
HARZBURGITE,55.1,0.07,0.56,34.49
HARZBURGITE,55.3,0.12,0.65,33.6
HARZBURGITE,43.73,3.72,0.87,42.46
HARZBURGITE,40.26,0.04,0.59,48.72
HARZBURGITE,42.57,1.11,0.94,46.28
HARZBURGITE,45.0,1.51,2.03,42.3
HARZBURGITE,45.5,1.62,2.72,39.53
HARZBURGITE,44.69,0.89,1.72,43.74
HARZBURGITE,37.9,0.35,2.22,36.7
HARZBURGITE,38.13,0.18,2.06,36.5
HARZBURGITE,37.14,0.18,2.84,37.5
HARZBURGITE,37.7,0.18,3.92,37.0
HARZBURGITE,39.26,0.58,1.67,36.3
HARZBURGITE,38.9,1.2,2.83,35.04
HARZBURGITE,39.56,1.2,1.9,35.32
HARZBURGITE,38.17,0.07,0.74,36.59
HARZBURGITE,40.93,0.74,1.09,36.85
HARZBURGITE,34.14,0.02,0.85,39.32
HARZBURGITE,37.46,0.03,0.76,39.15
HARZBURGITE,34.61,0.08,0.68,39.21
HARZBURGITE,41.52,0.06,0.71,39.61
HARZBURGITE,39.29,0.07,1.01,37.04
HARZBURGITE,37.1,0.79,0.47,39.38
HARZBURGITE,49.99,8.45,4.54,22.65
HARZBURGITE,33.64,0.07,0.2,40.13
HARZBURGITE,34.46,0.22,0.21,40.18
HARZBURGITE,35.12,0.08,0.21,39.87
HARZBURGITE,37.57,0.55,0.77,39.61
HARZBURGITE,38.35,0.53,0.49,40.0
HARZBURGITE,29.39,0.14,0.57,41.22
HARZBURGITE,35.45,0.36,0.28,41.32
HARZBURGITE,36.49,0.5,0.41,39.14
HARZBURGITE,36.81,0.33,0.19,41.5
HARZBURGITE,32.18,0.32,0.25,40.35
HARZBURGITE,38.62,0.79,0.66,40.03
HARZBURGITE,38.08,0.81,0.88,37.34
HARZBURGITE,38.7,0.62,0.64,39.33
HARZBURGITE,40.2,0.35,0.37,42.69
HARZBURGITE,37.37,0.29,0.3,39.47
HARZBURGITE,29.13,0.16,0.29,41.26
HARZBURGITE,38.61,0.23,0.17,41.84
HARZBURGITE,38.09,0.13,0.1,42.96
HARZBURGITE,39.61,0.8,0.69,40.95
HARZBURGITE,37.09,0.58,0.63,39.5
HARZBURGITE,35.53,0.35,0.19,39.32
HARZBURGITE,40.7,0.6,0.47,42.94
HARZBURGITE,40.7,0.6,0.47,42.94
HARZBURGITE,38.42,0.79,0.6,39.04
HARZBURGITE,37.76,0.69,0.54,39.97
HARZBURGITE,38.56,0.86,0.63,39.13
