ROCK NAME,SIO2,TIO2,AL2O3,MGO,CAO,MNO
DUNITE,39.72,0.03,0.16,47.05,0.37,0.18
DUNITE,41.87,0.21,5.16,34.65,5.42,0.18
DUNITE,41.2,0.023,0.3,49.7,0.26,0.11
DUNITE,42.1,0.0,0.09,50.4,0.02,0.1
DUNITE,41.6,0.013,0.88,50.0,0.09,0.09
DUNITE,37.9,0.12,2.6,37.78,0.05,0.15
DUNITE,45.2,0.3,3.77,34.4,3.72,0.18
DUNITE,41.4,0.081,1.31,46.7,0.14,0.18
DUNITE,41.5,0.07,1.25,46.3,0.48,0.18
DUNITE,41.8,0.054,1.39,47.2,0.1,0.16
DUNITE,42.0,0.038,0.77,47.8,1.56,0.13
DUNITE,42.0,0.031,1.08,47.6,0.04,0.08
DUNITE,42.6,0.017,1.06,45.7,0.05,0.08
DUNITE,41.1,0.027,1.23,48.0,0.02,0.1
DUNITE,40.5,0.007,0.94,48.5,0.12,0.12
DUNITE,40.1,0.016,0.29,50.4,0.09,0.12
DUNITE,41.77,0.01,5.1,37.2,5.21,0.14
DUNITE,45.77,0.03,15.93,17.7,13.26,0.08
DUNITE,42.55,0.01,10.71,29.3,8.14,0.12
DUNITE,46.05,0.02,19.29,16.6,13.97,0.07
DUNITE,40.76,0.11,2.37,42.68,1.18,0.13
DUNITE,38.5,0.19,2.36,39.13,1.29,0.14
DUNITE,40.06,0.07,2.7,38.15,0.25,0.1
DUNITE,36.59,0.19,1.75,39.89,0.89,0.2
DUNITE,34.04,0.17,0.91,40.5,0.28,0.1
DUNITE,39.69,0.04,0.15,44.39,0.06,0.19
DUNITE,39.18,0.05,0.88,39.22,0.55,0.16
DUNITE,39.53,0.04,0.9,38.87,1.86,0.2
DUNITE,37.56,0.06,0.89,39.09,0.67,0.19
DUNITE,40.12,0.07,0.91,38.39,1.09,0.2
DUNITE,37.43,0.07,0.92,38.37,0.85,0.2
DUNITE,39.94,0.08,0.95,37.68,1.58,0.2
DUNITE,46.3,0.01,0.16,46.09,0.03,0.11
DUNITE,39.56,0.03,0.1,44.82,0.07,0.1
DUNITE,36.65,0.03,0.38,38.46,0.14,0.17
DUNITE,41.7,0.21,5.37,34.2,5.94,0.18
DUNITE,42.85,0.31,6.81,31.5,6.28,0.17
DUNITE,36.3,0.06,0.7,45.7,1.2,0.09
DUNITE,34.32,0.03,2.03,41.8,0.38,0.19
DUNITE,38.98,0.01,1.8,42.89,1.17,0.07
DUNITE,40.4,0.11,0.52,47.82,0.36,0.14
DUNITE,39.69,0.17,0.16,45.33,0.58,0.22
DUNITE,38.2,0.19,4.0,29.77,2.31,0.17
DUNITE,38.85,0.26,5.65,26.66,5.45,0.18
DUNITE,38.29,0.39,4.13,27.46,3.67,0.2
DUNITE,38.0,0.32,4.69,26.62,3.95,0.18
DUNITE,39.69,0.28,5.73,26.48,5.82,0.17
DUNITE,36.81,0.005,0.52,38.65,0.34,0.11
DUNITE,38.66,0.05,3.09,35.69,0.8,0.13
DUNITE,38.29,0.06,2.38,36.31,0.67,0.14
DUNITE,37.01,0.08,1.94,39.41,1.13,0.12
DUNITE,36.79,0.08,2.57,39.1,1.86,0.13
DUNITE,34.57,0.02,0.89,39.64,0.15,0.12
DUNITE,35.86,0.01,0.54,38.42,0.02,0.08
DUNITE,39.33,0.004,0.05,36.55,0.01,0.09
DUNITE,39.62,0.005,0.0,33.84,0.02,0.11
DUNITE,37.65,0.57,2.19,29.18,6.36,0.18
DUNITE,33.11,2.57,6.85,24.37,5.72,0.31
DUNITE,41.88,0.22,5.03,35.41,4.67,0.18
DUNITE,34.08,0.002,0.27,39.82,0.01,0.135
DUNITE,37.62,0.036,1.31,38.97,0.02,0.122
DUNITE,38.96,0.089,1.89,37.35,0.21,0.11
DUNITE,36.0,0.022,0.87,37.08,0.47,0.196
DUNITE,39.84,0.111,2.35,36.7,0.7,0.145
DUNITE,38.99,0.118,2.19,35.78,0.41,0.155
DUNITE,36.64,0.049,1.05,37.29,0.02,0.256
DUNITE,39.37,0.089,1.92,34.14,2.59,0.148
DUNITE,36.75,0.065,1.24,37.0,0.04,0.113
DUNITE,35.8,0.019,0.71,38.95,0.02,0.132
DUNITE,29.99,0.002,0.1,36.96,0.03,0.104
DUNITE,37.58,0.097,1.62,35.57,0.67,0.16
DUNITE,37.11,0.027,0.76,39.66,0.03,0.101
DUNITE,36.56,0.056,1.26,37.52,0.56,0.186
DUNITE,34.02,0.017,0.55,39.26,0.05,0.151
DUNITE,37.84,0.06,1.38,37.48,0.02,0.163
DUNITE,39.26,0.051,1.59,36.75,1.29,0.181
DUNITE,38.78,0.096,2.21,34.91,0.02,0.146
DUNITE,36.81,0.025,0.92,39.1,0.02,0.156
DUNITE,34.31,0.06,1.42,34.54,0.05,0.111
DUNITE,37.03,0.044,1.25,37.52,0.06,0.149
DUNITE,35.79,0.052,1.28,38.2,0.04,0.159
DUNITE,33.9,0.14,3.11,33.9,1.89,0.22
DUNITE,41.21,0.49,0.67,46.46,1.46,0.17
DUNITE,40.78,0.52,0.7,45.78,1.31,0.19
DUNITE,39.09,0.46,0.61,44.44,1.07,0.17
DUNITE,40.7,0.03,1.6,45.79,1.07,0.17
DUNITE,41.07,0.09,0.74,41.37,0.1,0.25
DUNITE,39.26,0.12,2.8,30.09,7.33,0.17
DUNITE,40.74,0.04,0.33,48.3,0.51,0.15
DUNITE,40.84,0.04,0.32,48.43,0.48,0.15
DUNITE,41.53,0.04,0.44,47.98,0.28,0.16
DUNITE,40.78,0.04,0.29,49.14,0.3,0.15
DUNITE,41.05,0.04,0.3,49.05,0.33,0.15
DUNITE,40.78,0.012,1.05,47.49,0.61,0.132
DUNITE,41.45,0.01,0.11,49.59,0.07,0.1
DUNITE,39.58,0.01,1.16,47.37,0.64,0.17
DUNITE,38.71,0.08,1.2,45.58,2.18,0.18
DUNITE,46.8,0.06,17.04,15.9,14.71,0.09
DUNITE,46.35,0.03,19.65,12.97,15.85,0.07
DUNITE,45.54,0.02,15.69,20.36,12.67,0.09
DUNITE,44.34,0.07,17.89,19.65,11.5,0.1
DUNITE,45.46,0.04,14.87,23.34,10.8,0.1
DUNITE,44.28,0.05,16.95,18.74,12.9,0.08
DUNITE,48.49,0.05,17.84,13.12,18.33,0.06
DUNITE,44.75,0.04,21.36,12.72,15.36,0.06
DUNITE,44.16,0.03,12.4,27.44,9.8,0.11
DUNITE,45.25,0.11,18.5,18.01,11.03,0.12
DUNITE,46.59,0.18,14.88,17.12,13.25,0.11
DUNITE,43.82,0.03,21.02,12.82,15.24,0.08
DUNITE,45.45,0.04,21.67,11.2,17.26,0.06
DUNITE,40.52,0.01,0.1,49.0,0.2,0.21
DUNITE,39.67,0.04,0.28,48.71,0.21,0.11
DUNITE,39.99,0.04,1.05,47.8,0.64,0.1
DUNITE,42.47,0.04,1.17,45.88,0.64,0.1
DUNITE,43.4,0.04,0.86,45.49,0.8,0.12
DUNITE,38.7,0.09,1.5,41.53,1.21,0.19
DUNITE,37.37,0.04,0.41,44.03,0.38,0.18
DUNITE,41.35,0.01,0.21,47.9,0.27,0.13
DUNITE,39.33,0.05,0.85,44.9,0.18,0.19
DUNITE,41.55,0.21,1.78,39.1,3.26,0.18
DUNITE,39.92,0.06,1.11,46.06,0.07,0.16
DUNITE,39.44,0.07,1.19,45.22,0.08,0.18
DUNITE,40.31,0.08,0.93,45.07,0.64,0.17
DUNITE,36.6,0.18,5.13,28.3,2.41,0.25
DUNITE,35.5,0.02,0.69,41.6,0.35,0.1
DUNITE,35.1,0.02,0.5,42.8,0.7,0.1
DUNITE,38.8,0.02,0.77,38.8,0.5,0.1
DUNITE,39.7,0.02,0.11,47.8,0.51,0.2
DUNITE,39.3,0.03,0.11,48.0,0.35,0.17
DUNITE,25.2,0.12,6.8,29.3,0.1,0.1
DUNITE,32.9,0.05,2.9,35.8,0.04,0.09
DUNITE,31.0,0.06,2.5,39.8,0.16,0.08
DUNITE,31.5,0.08,4.2,37.1,0.12,0.13
DUNITE,9.8,0.21,9.9,19.2,0.63,0.11
DUNITE,33.4,0.1,3.4,38.1,0.63,0.13
DUNITE,14.5,0.19,7.2,24.3,0.07,0.09
DUNITE,35.2,0.05,1.6,42.4,0.04,0.13
DUNITE,48.8,0.1,2.34,21.5,17.7,0.11
DUNITE,44.7,0.05,1.22,34.8,9.41,0.13
DUNITE,48.1,0.17,2.85,23.6,16.7,0.13
DUNITE,29.7,0.06,2.91,35.9,0.16,0.15
DUNITE,31.9,0.03,1.08,39.3,0.12,0.13
DUNITE,40.2,0.02,0.73,40.2,4.42,0.14
DUNITE,42.6,0.19,20.4,8.48,16.6,0.1
DUNITE,50.2,0.11,2.64,20.4,20.1,0.09
DUNITE,48.1,0.27,3.65,20.3,18.2,0.13
DUNITE,51.1,0.21,3.51,16.9,23.0,0.1
DUNITE,48.0,1.6,13.8,7.97,8.88,0.17
DUNITE,33.8,1.73,13.4,5.97,25.0,0.4
DUNITE,48.5,1.12,15.7,3.38,8.7,0.31
DUNITE,40.0,1.27,11.6,6.66,23.0,0.22
DUNITE,5.33,0.17,1.22,0.73,51.4,0.15
DUNITE,51.4,0.72,16.1,2.36,9.04,0.09
DUNITE,37.6,0.03,0.59,41.5,1.23,0.18
DUNITE,31.9,0.05,2.74,39.3,0.12,0.15
DUNITE,34.1,0.08,2.94,40.9,0.32,0.16
DUNITE,40.5,0.04,1.3,44.4,1.4,0.16
DUNITE,38.8,0.03,0.81,43.8,0.7,0.16
DUNITE,37.1,0.06,0.5,42.6,0.67,0.11
DUNITE,36.6,0.12,0.76,42.9,0.26,0.11
DUNITE,48.9,0.55,4.1,17.3,19.2,0.11
DUNITE,37.4,0.03,0.42,43.7,0.22,0.11
DUNITE,38.1,0.03,0.34,40.8,0.45,0.16
DUNITE,37.1,0.04,0.46,43.4,0.29,0.11
DUNITE,37.8,0.08,0.76,37.6,1.6,0.22
DUNITE,37.8,0.05,0.34,44.4,0.35,0.11
DUNITE,37.7,0.03,0.42,42.7,0.26,0.19
DUNITE,37.8,0.02,0.42,43.9,0.26,0.11
DUNITE,38.1,0.02,0.42,44.0,0.29,0.11
DUNITE,39.4,0.24,1.7,34.0,3.6,0.22
DUNITE,37.8,0.11,0.86,42.1,0.83,0.11
DUNITE,43.7,1.0,15.6,9.1,11.8,0.16
DUNITE,51.4,0.22,1.7,20.2,20.2,0.08
DUNITE,37.4,0.14,2.6,36.8,0.12,0.11
DUNITE,35.1,0.09,0.5,39.6,0.93,0.11
DUNITE,37.1,0.02,0.64,42.9,0.19,0.23
DUNITE,37.7,0.04,0.74,43.0,0.09,0.31
DUNITE,37.1,0.03,0.64,42.8,0.12,0.26
DUNITE,36.6,0.01,0.46,43.4,0.09,0.23
DUNITE,37.1,0.02,0.54,42.9,0.32,0.26
DUNITE,36.6,0.03,0.64,42.4,0.12,0.23
DUNITE,39.0,0.04,0.64,36.8,2.6,0.26
DUNITE,37.7,0.02,0.5,41.2,0.51,0.23
DUNITE,36.1,0.03,0.74,40.5,0.32,0.26
DUNITE,37.4,0.01,0.54,42.8,0.38,0.26
DUNITE,36.6,0.01,0.54,42.3,0.06,0.23
DUNITE,36.7,0.02,0.5,43.2,0.34,0.21
DUNITE,35.9,0.05,0.59,38.3,0.31,0.21
DUNITE,38.1,0.1,0.59,43.1,0.43,0.21
DUNITE,37.0,0.04,0.5,41.3,0.71,0.21
DUNITE,37.4,0.03,0.59,43.5,0.34,0.18
DUNITE,40.0,0.06,4.8,32.5,1.3,0.18
DUNITE,39.9,0.02,0.2,47.3,0.17,0.13
DUNITE,39.9,0.02,0.2,48.5,0.18,0.12
DUNITE,38.7,0.09,0.11,46.3,0.25,0.11
DUNITE,39.3,0.02,0.25,44.8,1.5,0.15
DUNITE,39.6,0.03,0.07,47.4,0.3,0.14
DUNITE,37.9,0.02,0.29,44.4,0.21,0.09
DUNITE,41.4,0.02,0.58,43.5,1.0,0.07
DUNITE,32.2,0.06,3.5,40.1,0.34,0.15
DUNITE,33.1,0.04,1.9,41.4,0.13,0.12
DUNITE,43.4,0.13,0.82,43.4,0.73,0.07
DUNITE,52.3,0.09,2.0,20.9,15.8,0.13
DUNITE,40.1,0.06,6.6,43.2,1.2,0.17
DUNITE,44.1,0.02,1.2,46.4,0.69,0.15
DUNITE,34.1,0.09,0.58,38.4,1.4,0.14
DUNITE,41.6,0.05,0.95,34.8,0.61,0.14
DUNITE,39.6,0.02,0.93,41.9,1.5,0.22
DUNITE,35.2,0.02,1.2,40.8,0.6,0.18
DUNITE,35.7,0.02,0.93,42.5,0.8,0.18
DUNITE,36.1,0.02,1.1,42.6,0.7,0.18
DUNITE,35.8,0.04,0.89,42.6,1.0,0.16
DUNITE,35.7,0.02,0.8,42.7,0.2,0.16
DUNITE,35.2,0.05,0.86,42.7,0.15,0.15
DUNITE,37.4,0.04,1.2,45.5,1.9,0.17
DUNITE,37.1,0.02,1.4,45.0,0.32,0.13
DUNITE,36.6,0.01,0.06,44.8,0.24,0.11
DUNITE,33.1,0.04,0.65,38.2,0.3,0.16
DUNITE,39.9,0.12,2.3,44.2,0.75,0.14
DUNITE,43.2,0.02,1.1,46.4,0.52,0.12
DUNITE,40.8,0.16,1.0,46.9,0.58,0.15
DUNITE,40.3,0.03,0.7,46.0,0.31,0.16
DUNITE,39.5,0.22,1.2,40.1,0.06,0.18
DUNITE,40.2,0.05,0.37,46.0,0.14,0.147
DUNITE,48.5,1.1,14.5,4.7,23.0,0.13
DUNITE,40.6,0.02,0.69,49.2,0.19,0.06
DUNITE,41.6,0.02,1.9,42.2,2.8,0.08
DUNITE,39.2,0.06,0.2,45.1,0.16,0.151
DUNITE,35.2,0.06,1.83,44.2,0.19,0.354
DUNITE,43.1,0.04,0.64,45.4,0.28,0.14
DUNITE,35.2,0.01,0.2,41.7,0.2,0.133
DUNITE,37.4,0.02,0.46,40.1,0.81,0.138
DUNITE,38.5,0.01,0.23,43.4,0.01,0.117
DUNITE,38.11,0.04,0.96,45.02,0.26,0.122
DUNITE,40.4,0.1,1.96,33.2,6.0,0.2
DUNITE,42.7,0.08,2.2,29.0,5.24,0.19
DUNITE,42.5,0.03,0.8,36.0,0.19,0.17
DUNITE,35.6,0.56,1.07,28.1,3.88,0.31
DUNITE,36.3,0.06,0.26,34.7,0.2,0.26
DUNITE,41.7,0.04,0.49,33.1,6.42,0.2
DUNITE,45.7,0.22,19.1,9.9,15.7,0.13
DUNITE,38.4,0.02,0.28,46.8,0.12,0.14
DUNITE,37.6,0.02,0.2,41.8,0.22,0.16
DUNITE,38.9,0.02,0.41,46.9,0.12,0.14
DUNITE,38.3,0.04,0.39,44.6,0.24,0.26
DUNITE,40.1,0.04,0.46,43.3,0.87,0.21
DUNITE,40.3,0.02,0.21,46.9,0.25,0.17
DUNITE,40.0,0.05,0.34,47.1,0.32,0.16
DUNITE,39.2,0.04,0.81,35.6,3.9,0.19
DUNITE,39.3,0.03,0.2,46.7,0.27,0.14
DUNITE,38.5,0.03,0.22,46.7,0.15,0.14
DUNITE,37.2,0.03,0.4,42.1,0.09,0.18
DUNITE,36.4,0.02,1.5,40.3,0.1,0.19
DUNITE,38.1,0.08,2.2,34.4,3.2,0.24
DUNITE,35.7,0.02,0.56,41.3,0.6,0.22
DUNITE,39.1,0.02,0.56,43.2,1.3,0.27
DUNITE,37.2,0.03,1.0,45.0,0.5,0.22
DUNITE,35.0,0.1,1.2,37.6,0.52,0.32
DUNITE,37.2,0.02,0.19,40.5,1.2,0.23
DUNITE,26.6,0.08,3.0,32.4,0.12,0.24
DUNITE,38.0,0.02,0.16,39.1,2.3,0.26
DUNITE,37.4,0.02,0.32,41.7,0.58,0.26
DUNITE,36.7,0.02,0.18,42.5,0.35,0.24
DUNITE,36.3,0.04,0.3,43.6,0.13,0.08
DUNITE,36.3,0.03,0.3,43.8,0.06,0.11
DUNITE,39.2,0.04,0.5,45.6,0.19,0.11
DUNITE,41.3,0.01,2.5,43.4,1.7,0.11
DUNITE,38.7,0.02,0.49,45.0,0.35,0.1
DUNITE,42.6,0.01,1.1,45.3,0.87,0.09
DUNITE,42.7,0.01,0.6,43.4,0.15,0.12
DUNITE,40.3,0.03,1.0,46.0,0.27,0.16
DUNITE,37.9,0.09,0.88,39.5,0.04,0.29
DUNITE,25.5,0.08,6.24,28.84,0.2,0.12
DUNITE,32.4,0.04,2.29,35.39,0.1,0.1
DUNITE,30.36,0.04,2.25,38.08,0.2,0.13
DUNITE,34.67,0.04,3.8,36.74,0.19,0.14
DUNITE,30.9,0.03,2.06,38.23,0.07,0.11
DUNITE,8.16,0.24,9.64,18.04,0.8,0.11
DUNITE,32.98,0.08,3.18,36.94,0.75,0.14
DUNITE,8.74,0.16,8.36,21.62,0.22,0.14
DUNITE,34.92,0.02,1.02,41.38,0.14,0.15
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,36.92,0.03,3.65,34.25,0.64,0.1
DUNITE,37.0,0.2,0.92,39.42,1.8,0.08
DUNITE,38.2,0.18,1.03,38.0,0.8,0.1
DUNITE,38.26,0.08,1.1,38.64,0.5,0.21
DUNITE,38.04,0.08,1.21,38.07,0.98,0.14
DUNITE,33.62,0.01,0.07,42.04,0.03,0.1
DUNITE,43.7,0.007,0.63,44.64,2.06,0.129
DUNITE,34.44,0.07,3.67,39.81,1.53,0.14
DUNITE,36.98,0.02,0.53,43.24,0.64,0.12
DUNITE,32.71,0.02,0.31,41.42,0.06,0.14
DUNITE,33.33,0.03,0.25,42.98,0.11,0.11
DUNITE,32.7,0.03,0.23,42.54,0.07,0.12
HARZBURGITE,42.92,0.02,0.81,45.65,0.8,0.12
HARZBURGITE,43.65,0.0,0.5,46.21,0.41,0.131
HARZBURGITE,44.09,0.0,0.46,45.72,0.61,0.132
HARZBURGITE,43.54,0.0,0.56,46.54,0.44,0.13
HARZBURGITE,43.95,0.015,0.76,45.9,0.82,0.128
HARZBURGITE,43.95,0.015,1.07,44.51,0.8,0.132
HARZBURGITE,43.74,0.01,0.75,46.14,0.96,0.13
HARZBURGITE,39.53,0.18,3.11,33.23,0.17,0.07
HARZBURGITE,36.59,0.18,2.91,35.81,0.15,0.07
HARZBURGITE,36.57,0.19,3.78,29.23,3.51,0.17
HARZBURGITE,42.59,0.22,2.77,32.12,2.65,0.13
HARZBURGITE,42.96,0.01,0.73,46.19,0.54,0.13
HARZBURGITE,43.36,0.02,0.65,47.08,0.57,0.13
HARZBURGITE,40.0,0.06,2.84,37.52,0.26,0.09
HARZBURGITE,38.59,0.01,0.75,40.2,0.55,0.1
HARZBURGITE,40.78,0.02,0.88,42.04,0.99,0.13
HARZBURGITE,40.82,0.01,0.89,41.16,1.64,0.12
HARZBURGITE,43.16,0.02,0.84,33.67,0.08,0.12
HARZBURGITE,37.22,0.35,0.62,40.12,1.53,0.17
HARZBURGITE,41.49,0.09,0.26,43.38,1.18,0.15
HARZBURGITE,38.87,0.21,0.92,40.03,1.49,0.12
HARZBURGITE,41.07,0.12,1.03,41.43,1.58,0.18
HARZBURGITE,43.21,0.05,0.64,43.08,0.54,0.17
HARZBURGITE,40.46,0.03,1.48,38.94,0.08,0.1
HARZBURGITE,40.89,0.02,1.65,38.42,0.0,0.06
HARZBURGITE,40.07,0.03,1.73,37.72,0.0,0.06
HARZBURGITE,46.6,0.29,3.74,24.68,5.97,0.25
HARZBURGITE,42.64,0.08,2.78,36.84,2.87,0.13
HARZBURGITE,38.5,0.02,0.9,36.4,0.1,0.08
HARZBURGITE,38.0,0.02,0.9,37.85,0.11,0.11
HARZBURGITE,41.95,0.12,1.9,34.25,0.28,0.1
HARZBURGITE,55.23,0.0,0.54,35.67,0.75,0.12
HARZBURGITE,44.69,0.0,0.64,45.23,0.24,0.13
HARZBURGITE,44.31,0.0,0.37,45.81,0.37,0.12
HARZBURGITE,43.89,0.0,0.6,45.71,0.56,0.12
HARZBURGITE,38.55,0.006,0.42,38.01,0.35,0.11
HARZBURGITE,39.23,0.008,0.95,36.81,0.32,0.12
